name,link
Friday Pizza,https://www.foodpanda.com.mm/restaurant/cnnb/friday-pizza
လေပြေ စားဖွယ်စုံ,https://www.foodpanda.com.mm/restaurant/l6v1/lep-e-caa-ph-y-cun
Golden World,https://www.foodpanda.com.mm/restaurant/y7os/golden-world
Moshi Moshi Sushi,https://www.foodpanda.com.mm/restaurant/iyqg/moshi-moshi-sushi
The Flow BBQ & Restaurant,https://www.foodpanda.com.mm/restaurant/f0jw/the-flow-bbq-and-restaurant
Tun Tun Cafe,https://www.foodpanda.com.mm/restaurant/d9rm/tun-tun-cafe
ရွှေအင်း၀,https://www.foodpanda.com.mm/chain/cq3df/r-eang-0
ဒေါ်စန်းစန်းတင့် မြန်မာထမင်းဆိုင်,https://www.foodpanda.com.mm/restaurant/i9vw/de-cn-cn-ttng-m-n-maathmng-chiung
ရွှေအင်းဝ ရှမ်းခေါက်ဆွဲ,https://www.foodpanda.com.mm/restaurant/smol/r-eang-w-r-m-khe-k-ch-ai
7 Star (Terminated),https://www.foodpanda.com.mm/restaurant/t3ja/7-star-terminated
Summer Juice,https://www.foodpanda.com.mm/restaurant/c96n/summer-juice
ကောင်းထက်သာ,https://www.foodpanda.com.mm/restaurant/ibgc/keaang-thk-saa
Paparazi Mae Sot Taste,https://www.foodpanda.com.mm/restaurant/oq1a/paparazi-mae-sot-taste
Street Burger,https://www.foodpanda.com.mm/restaurant/bcmu/street-burger
၁၅လမ်း ရှမ်းစားဖွယ်,https://www.foodpanda.com.mm/restaurant/ll0e/15lm-r-m-caa-ph-y
TTNge,https://www.foodpanda.com.mm/restaurant/r3pk/ttnge
Violet Garden,https://www.foodpanda.com.mm/restaurant/xzk9/violet-garden
Ezee Balls,https://www.foodpanda.com.mm/restaurant/hnc7/ezee-balls
ဖြိုးအောင်(မနက်ခင်းစားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/adrv/ph-iu-aeaang-mnk-khng-caa-ph-y-cun
ဧရာဝတီ ငါးကင်,https://www.foodpanda.com.mm/restaurant/cjz7/eraawttii-ng-kng
Ma Naw Thu (အချဉ်ပေါင်းသုပ်),https://www.foodpanda.com.mm/restaurant/hr8j/ma-naw-thu-akh-ny-pe-ng-sup
